index,2009,2016,2019
<10,41239670,40764751,39364575 
10-19,42733888,42400831,43175125  
20-29,42594453,45085816,45130485 
30-39,40891061,41877301,44443846  
40-49,45220217,42075262,40995697 
50-59,39484995,44103055,42372837 
60-69,25769455,34497686,38817726 
70-79,16402913,19242115,24211468 
≥80,11064990,12040730,12921458
